date,holding,name,close,daily_ret%,nav
2026-01-05,512400,有色金属ETF,1.981,+2.80,33.9521
2026-01-06,512400,有色金属ETF,2.060,+3.99,35.3061
2026-01-07,512400,有色金属ETF,2.068,+0.39,35.4432
2026-01-08,512400,有色金属ETF,2.032,-1.74,34.8262
2026-01-09,512400,有色金属ETF,2.094,+3.05,35.8888
2026-01-12,512400,有色金属ETF,2.118,+1.15,36.3001
2026-01-13,512400,有色金属ETF,2.141,+1.09,36.6943
2026-01-14,512400,有色金属ETF,2.148,+0.33,36.8143
2026-01-15,512400,有色金属ETF,2.206,+2.70,37.8084
2026-01-16,512400,有色金属ETF,2.175,-1.41,37.2771
2026-01-19,512400,有色金属ETF,2.177,+0.09,37.3113
2026-01-20,512400,有色金属ETF,2.184,+0.32,37.4313
2026-01-21,512400,有色金属ETF,2.253,+3.16,38.6139
2026-01-22,512400,有色金属ETF,2.236,-0.75,38.3225
2026-01-23,512400,有色金属ETF,2.293,+2.55,39.2995
2026-01-26,512400,有色金属ETF,2.414,+5.28,41.3733
2026-01-27,512400,有色金属ETF,2.391,-0.95,40.9791
2026-01-28,512400,有色金属ETF,2.549,+6.61,43.6870
2026-01-29,512400,有色金属ETF,2.595,+1.80,44.4754
2026-01-30,510500,中证500ETF,8.291,-9.88,40.0798
2026-02-02,563300,中证2000ETF,1.455,-4.74,38.1820
2026-02-03,563300,中证2000ETF,1.491,+2.47,39.1267
2026-02-04,563300,中证2000ETF,1.493,+0.13,39.1792
2026-02-05,563300,中证2000ETF,1.473,-1.34,38.6544
2026-02-06,563300,中证2000ETF,1.481,+0.54,38.8643
2026-02-09,563300,中证2000ETF,1.512,+2.09,39.6778
2026-02-10,563300,中证2000ETF,1.510,-0.13,39.6253
2026-02-11,563300,中证2000ETF,1.506,-0.26,39.5204
2026-02-12,563300,中证2000ETF,1.512,+0.40,39.6778
2026-02-13,563300,中证2000ETF,1.503,-0.60,39.4417
2026-02-24,563300,中证2000ETF,1.523,+1.33,39.9665
2026-02-25,563300,中证2000ETF,1.537,+0.92,40.3339
2026-02-26,563300,中证2000ETF,1.555,+1.17,40.8062
2026-02-27,563300,中证2000ETF,1.567,+0.77,41.1211
2026-03-02,512890,红利低波ETF,1.183,-1.81,40.3783
2026-03-03,512890,红利低波ETF,1.196,+1.10,40.8220
2026-03-04,512890,红利低波ETF,1.180,-1.34,40.2759
2026-03-05,512890,红利低波ETF,1.182,+0.17,40.3442
2026-03-06,512890,红利低波ETF,1.188,+0.51,40.5489
2026-03-09,512890,红利低波ETF,1.187,-0.08,40.5148
2026-03-10,563300,中证2000ETF,1.548,-0.19,40.4385
2026-03-11,563300,中证2000ETF,1.542,-0.39,40.2817
2026-03-12,563300,中证2000ETF,1.526,-1.04,39.8638
2026-03-13,563300,中证2000ETF,1.512,-0.92,39.4980
2026-03-16,563300,中证2000ETF,1.517,+0.33,39.6286
2026-03-17,512890,红利低波ETF,1.210,-2.52,38.6282
2026-03-18,512890,红利低波ETF,1.204,-0.50,38.4367
2026-03-19,512890,红利低波ETF,1.201,-0.25,38.3409
2026-03-20,512890,红利低波ETF,1.196,-0.42,38.1813
