共 46 个任务 (46 变体 × 1 起点), 2 进程并行
耗时 1565s, 写入 /root/stock/v10/results/grid6.jsonl

变体             起点             终值x基线     年化%     回撤%     夏普   换手/年    抄底
grid_w26b20g25 2014-01-01    1.074x  +49.96  -26.99  1.673   17.6    15
grid_w26b20g30 2014-01-01    1.064x  +49.85  -26.99  1.670   17.3    15
grid_w25b20g25 2014-01-01    1.010x  +49.23  -26.99  1.641   18.0    15
grid_w28b20g25 2014-01-01    1.004x  +49.16  -31.19  1.665   17.3    15
baseline       2014-01-01    1.000x  +49.11  -26.99  1.638   17.6    15
grid_w25b20g30 2014-01-01    1.000x  +49.11  -26.99  1.638   17.6    15
grid_w28b20g30 2014-01-01    0.988x  +48.97  -31.19  1.660   17.1    15
grid_w26b20g35 2014-01-01    0.958x  +48.61  -26.99  1.637   17.2    15
grid_w26b15g30 2014-01-01    0.952x  +48.53  -26.99  1.641   18.0    15
grid_w26b15g25 2014-01-01    0.952x  +48.53  -26.99  1.641   18.4    15
grid_w26b25g25 2014-01-01    0.944x  +48.44  -26.99  1.635   17.6    15
grid_w26b25g30 2014-01-01    0.936x  +48.33  -26.99  1.632   17.3    15
grid_w25b25g25 2014-01-01    0.927x  +48.22  -26.99  1.614   17.8    15
grid_w25b25g30 2014-01-01    0.918x  +48.11  -26.99  1.612   17.5    15
grid_w28b25g25 2014-01-01    0.916x  +48.08  -31.19  1.635   17.0    15
grid_w25b15g25 2014-01-01    0.912x  +48.03  -26.99  1.613   18.7    15
grid_w25b15g30 2014-01-01    0.904x  +47.92  -26.99  1.610   18.4    15
grid_w28b15g25 2014-01-01    0.903x  +47.92  -31.19  1.637   17.9    15
grid_w28b25g30 2014-01-01    0.902x  +47.90  -31.19  1.630   16.9    15
grid_w25b20g35 2014-01-01    0.900x  +47.88  -26.99  1.605   17.5    15
grid_w28b15g30 2014-01-01    0.898x  +47.84  -31.19  1.635   17.7    15
grid_w28b20g35 2014-01-01    0.876x  +47.55  -31.19  1.621   17.1    15
grid_w24b20g25 2014-01-01    0.871x  +47.50  -26.99  1.593   18.0    15
grid_w26b15g35 2014-01-01    0.853x  +47.25  -26.99  1.606   18.0    15
grid_w26b25g35 2014-01-01    0.842x  +47.10  -26.99  1.599   17.1    15
grid_w24b20g30 2014-01-01    0.836x  +47.01  -26.99  1.581   17.6    15
grid_w25b25g35 2014-01-01    0.827x  +46.88  -26.99  1.578   17.3    15
grid_w24b25g25 2014-01-01    0.823x  +46.83  -26.99  1.575   17.8    15
grid_w25b15g35 2014-01-01    0.814x  +46.70  -26.99  1.577   18.3    15
grid_w28b25g35 2014-01-01    0.800x  +46.50  -31.19  1.591   16.9    15
grid_w28b15g35 2014-01-01    0.792x  +46.38  -31.19  1.595   17.7    15
grid_w24b15g25 2014-01-01    0.790x  +46.36  -26.99  1.565   18.7    15
grid_w24b25g30 2014-01-01    0.789x  +46.35  -26.99  1.563   17.5    15
grid_w24b15g30 2014-01-01    0.758x  +45.87  -26.99  1.553   18.4    15
grid_w24b20g35 2014-01-01    0.753x  +45.80  -26.99  1.548   17.6    15
grid_w22b20g25 2014-01-01    0.727x  +45.40  -26.68  1.542   18.2    15
grid_w22b20g30 2014-01-01    0.714x  +45.19  -26.68  1.536   17.9    15
grid_w24b25g35 2014-01-01    0.711x  +45.14  -26.99  1.530   17.4    15
grid_w22b25g25 2014-01-01    0.688x  +44.76  -26.68  1.521   17.9    15
grid_w24b15g35 2014-01-01    0.682x  +44.67  -26.99  1.520   18.3    15
grid_w22b25g30 2014-01-01    0.675x  +44.55  -26.68  1.516   17.6    15
grid_w22b15g25 2014-01-01    0.631x  +43.78  -26.68  1.499   18.8    15
grid_w22b20g35 2014-01-01    0.629x  +43.74  -26.68  1.497   17.8    15
grid_w22b15g30 2014-01-01    0.620x  +43.57  -26.68  1.493   18.5    15
grid_w22b25g35 2014-01-01    0.589x  +42.99  -26.68  1.474   17.5    15
grid_w22b15g35 2014-01-01    0.543x  +42.08  -26.68  1.453   18.4    15
