共 30 个任务 (5 变体 × 6 起点), 2 进程并行
耗时 913s, 写入 /root/stock/v10/results/grid6val.jsonl

变体             起点             终值x基线     年化%     回撤%     夏普   换手/年    抄底
grid_w26b20g25 2014-01-01    1.074x  +49.96  -26.99  1.673   17.6    15
grid_w26b20g30 2014-01-01    1.064x  +49.85  -26.99  1.670   17.3    15
grid_w25b20g25 2014-01-01    1.010x  +49.23  -26.99  1.641   18.0    15
grid_w25b20g25 2016-01-01    1.010x  +42.08  -26.99  1.491   18.7    13
grid_w28b20g25 2014-01-01    1.004x  +49.16  -31.19  1.665   17.3    15
baseline       2014-01-01    1.000x  +49.11  -26.99  1.638   17.6    15
baseline       2016-01-01    1.000x  +41.95  -26.99  1.488   18.3    13
baseline       2018-01-01    1.000x  +47.94  -26.99  1.563   18.5     9
baseline       2020-01-01    1.000x  +51.58  -26.99  1.577   19.7     7
baseline       2022-01-01    1.000x  +58.01  -14.69  1.732   20.0     7
baseline       2024-01-01    1.000x  +93.26  -14.69  2.091   22.9     4
grid_w25b20g25 2020-01-01    1.000x  +51.57  -26.99  1.577   20.3     7
grid_w25b20g25 2018-01-01    1.000x  +47.94  -26.99  1.563   19.0     9
grid_w25b20g25 2024-01-01    1.000x  +93.26  -15.38  2.091   24.4     4
grid_w25b20g25 2022-01-01    1.000x  +58.01  -15.38  1.732   20.9     7
grid_w26b20g25 2016-01-01    0.967x  +41.51  -26.99  1.483   18.5    13
grid_w26b20g30 2016-01-01    0.958x  +41.38  -26.99  1.480   18.2    13
grid_w28b20g25 2016-01-01    0.937x  +41.09  -31.19  1.485   18.0    13
grid_w26b20g30 2018-01-01    0.932x  +46.73  -26.99  1.542   18.3     9
grid_w26b20g25 2018-01-01    0.932x  +46.73  -26.99  1.541   18.8     9
grid_w28b20g25 2018-01-01    0.903x  +46.20  -31.19  1.543   18.1     9
grid_w28b20g25 2022-01-01    0.897x  +54.36  -19.15  1.694   20.0     7
grid_w26b20g30 2020-01-01    0.878x  +48.64  -26.99  1.518   19.4     7
grid_w26b20g25 2020-01-01    0.878x  +48.64  -26.99  1.518   20.0     7
grid_w26b20g30 2022-01-01    0.856x  +52.82  -15.22  1.629   20.0     7
grid_w26b20g25 2022-01-01    0.856x  +52.82  -19.15  1.629   20.9     7
grid_w28b20g25 2024-01-01    0.845x  +81.42  -19.15  1.964   23.3     4
grid_w26b20g30 2024-01-01    0.837x  +80.78  -15.22  1.914   22.9     4
grid_w26b20g25 2024-01-01    0.837x  +80.77  -19.15  1.914   24.4     4
grid_w28b20g25 2020-01-01    0.816x  +47.00  -31.19  1.494   19.4     7
