共 16 个任务 (8 变体 × 2 起点), 2 进程并行
耗时 334s, 写入 /root/stock/v10/results/round2fix.jsonl

变体             起点             终值x基线     年化%     回撤%     夏普   换手/年    抄底
baseline       2014-01-01    1.000x  +49.59  -26.99  1.651   17.7    15
baseline       2016-01-01    1.000x  +42.48  -26.99  1.503   18.4    13
engine_check   2014-01-01    1.000x  +49.59  -26.99  1.651   17.7    15
engine_check   2016-01-01    1.000x  +42.48  -26.99  1.503   18.4    13
ne_half70      2014-01-01    0.704x  +45.49  -25.92  1.583   17.7    15
ne_half70      2016-01-01    0.697x  +37.72  -25.92  1.409   18.4    13
ne_half50_bear 2016-01-01    0.609x  +35.97  -25.20  1.370   18.4    13
ne_half50_bear 2014-01-01    0.604x  +43.74  -26.44  1.548   17.7    15
ne_half50      2014-01-01    0.554x  +42.76  -25.20  1.527   17.7    15
ne_half50      2016-01-01    0.546x  +34.58  -25.20  1.334   18.4    13
ne_s0_half50   2014-01-01    0.532x  +42.30  -23.84  1.519   18.6    15
ne_s0_half50   2016-01-01    0.517x  +33.90  -23.42  1.318   19.1    13
ne50_ca70      2016-01-01    0.496x  +33.37  -25.20  1.318   18.4    13
ne50_ca70      2014-01-01    0.457x  +40.59  -25.20  1.497   17.7    15
ne_half30      2014-01-01    0.435x  +40.03  -24.49  1.463   17.7    15
ne_half30      2016-01-01    0.426x  +31.46  -24.49  1.250   18.4    13
