共 18 个任务 (9 变体 × 2 起点), 2 进程并行
耗时 713s, 写入 /root/stock/v10/results/round7.jsonl

变体             起点             终值x基线     年化%     回撤%     夏普   换手/年    抄底
fboth_m4       2014-01-01    1.141x  +50.68  -26.99  1.654   18.4    21
fboth_m4       2016-01-01    1.141x  +43.73  -26.99  1.509   19.2    19
fz25_m4        2014-01-01    1.132x  +50.59  -26.99  1.663   18.0    17
fz25_m4        2016-01-01    1.132x  +43.62  -26.99  1.519   18.7    15
fz20_m4        2014-01-01    1.126x  +50.52  -26.99  1.661   18.1    18
fz20_m4        2016-01-01    1.126x  +43.55  -26.99  1.516   18.9    16
fz20_d10       2016-01-01    1.039x  +42.47  -26.99  1.488   18.9    17
fz20_d10       2014-01-01    1.039x  +49.57  -26.99  1.637   18.1    19
fexit_z2       2014-01-01    1.007x  +49.20  -26.99  1.640   17.6    15
fexit_z2       2016-01-01    1.007x  +42.05  -26.99  1.490   18.3    13
baseline       2014-01-01    1.000x  +49.11  -26.99  1.638   17.6    15
baseline       2016-01-01    1.000x  +41.95  -26.99  1.488   18.3    13
fr3_m4         2014-01-01    0.992x  +49.02  -26.99  1.628   17.8    17
fr3_m4         2016-01-01    0.992x  +41.85  -26.99  1.477   18.5    15
fr3_d10        2016-01-01    0.948x  +41.25  -26.99  1.454   18.8    18
fabs35_m4      2014-01-01    0.943x  +48.43  -26.99  1.617   17.7    16
fabs35_m4      2016-01-01    0.943x  +41.18  -26.99  1.462   18.4    14
fr3_d10        2014-01-01    0.919x  +48.12  -34.32  1.584   18.2    21
