共 36 个任务 (6 变体 × 6 起点), 2 进程并行
耗时 1099s, 写入 /root/stock/v10/results/round7val.jsonl

变体             起点             终值x基线     年化%     回撤%     夏普   换手/年    抄底
fboth_m4       2018-01-01    1.210x  +51.24  -26.99  1.617   19.5    14
fboth_m4       2020-01-01    1.150x  +54.80  -26.99  1.626   20.8    11
fboth_m4       2022-01-01    1.150x  +62.85  -19.18  1.798   21.5    11
fboth_m4       2014-01-01    1.141x  +50.68  -26.99  1.654   18.4    21
fboth_m4       2016-01-01    1.141x  +43.73  -26.99  1.509   19.2    19
fz25_m4        2020-01-01    1.132x  +54.44  -26.99  1.623   20.3     9
fz25_m4        2014-01-01    1.132x  +50.59  -26.99  1.663   18.0    17
fz25_m4        2018-01-01    1.132x  +50.09  -26.99  1.599   19.0    11
fz25_m4        2016-01-01    1.132x  +43.62  -26.99  1.519   18.7    15
fz25_m4        2022-01-01    1.132x  +62.30  -19.19  1.794   20.9     9
fz20_m4        2020-01-01    1.126x  +54.32  -26.99  1.620   20.6    10
fz20_m4        2014-01-01    1.126x  +50.52  -26.99  1.661   18.1    18
fz20_m4        2022-01-01    1.126x  +62.12  -20.84  1.790   21.3    10
fz20_m4        2018-01-01    1.126x  +50.00  -26.99  1.596   19.2    12
fz20_m4        2016-01-01    1.126x  +43.55  -26.99  1.516   18.9    16
fz20_m4        2024-01-01    1.066x  +97.95  -14.69  2.146   22.9     4
fz25_m4        2024-01-01    1.066x  +97.95  -14.69  2.146   22.9     4
fboth_m4       2024-01-01    1.066x  +97.95  -14.69  2.146   22.9     4
fz20_d10       2024-01-01    1.053x  +97.08  -14.69  2.148   23.3     5
fz20_d10       2016-01-01    1.039x  +42.47  -26.99  1.488   18.9    17
fz20_d10       2014-01-01    1.039x  +49.57  -26.99  1.637   18.1    19
fz20_d10       2018-01-01    1.039x  +48.60  -26.99  1.563   19.2    13
fz20_d10       2020-01-01    1.038x  +52.44  -26.99  1.578   20.5    10
fz20_d10       2022-01-01    1.038x  +59.30  -19.17  1.729   21.1    10
fexit_z2       2014-01-01    1.007x  +49.20  -26.99  1.640   17.6    15
fexit_z2       2016-01-01    1.007x  +42.05  -26.99  1.490   18.3    13
baseline       2014-01-01    1.000x  +49.11  -26.99  1.638   17.6    15
baseline       2016-01-01    1.000x  +41.95  -26.99  1.488   18.3    13
baseline       2018-01-01    1.000x  +47.94  -26.99  1.563   18.5     9
baseline       2020-01-01    1.000x  +51.58  -26.99  1.577   19.7     7
baseline       2022-01-01    1.000x  +58.01  -14.69  1.732   20.0     7
baseline       2024-01-01    1.000x  +93.26  -14.69  2.091   22.9     4
fexit_z2       2018-01-01    1.000x  +47.94  -26.99  1.563   18.5     9
fexit_z2       2020-01-01    1.000x  +51.58  -26.99  1.577   19.7     7
fexit_z2       2022-01-01    1.000x  +58.01  -14.69  1.732   20.0     7
fexit_z2       2024-01-01    1.000x  +93.26  -14.69  2.091   22.9     4
