共 56 个任务 (28 变体 × 2 起点), 2 进程并行
耗时 1147s, 写入 /root/stock/v10/results/screen.jsonl

变体             起点             终值x基线     年化%     回撤%     夏普   换手/年    抄底
baseline       2014-01-01    1.000x  +49.59  -26.99  1.651   17.7    15
baseline       2016-01-01    1.000x  +42.48  -26.99  1.503   18.4    13
copy_check     2014-01-01    1.000x  +49.59  -26.99  1.651   17.7    15
copy_check     2016-01-01    1.000x  +42.48  -26.99  1.503   18.4    13
oh_lookback3   2014-01-01    1.000x  +49.59  -26.99  1.651   17.7    15
oh_lookback3   2016-01-01    1.000x  +42.48  -26.99  1.503   18.4    13
crash_lowest   2014-01-01    0.999x  +49.58  -26.99  1.644   17.7    15
crash_lowest   2016-01-01    0.999x  +42.46  -26.99  1.494   18.4    13
bearbuf_2      2016-01-01    0.944x  +41.71  -26.99  1.483   18.4    13
bearbuf_15     2016-01-01    0.942x  +41.69  -26.99  1.482   18.4    13
bearbuf_2      2014-01-01    0.932x  +48.76  -26.99  1.631   17.7    15
bearbuf_15     2014-01-01    0.931x  +48.75  -26.99  1.630   17.7    15
ne_score0      2014-01-01    0.915x  +48.54  -24.62  1.644   18.6    15
ne_buf2        2016-01-01    0.910x  +41.22  -26.99  1.470   18.4    13
ne_buf2        2014-01-01    0.899x  +48.33  -26.99  1.621   17.7    15
ne_score0      2016-01-01    0.890x  +40.92  -23.42  1.480   19.1    13
ne_gate_m10    2016-01-01    0.878x  +40.74  -26.99  1.459   18.7    13
ne_gate_m10    2014-01-01    0.878x  +48.05  -26.99  1.615   17.9    15
score_smooth3  2014-01-01    0.841x  +47.55  -31.19  1.623   17.7    15
gold_exempt    2016-01-01    0.820x  +39.83  -27.96  1.449   18.6    13
gold_exempt    2014-01-01    0.820x  +47.25  -27.96  1.608   17.8    15
score_smooth3  2016-01-01    0.817x  +39.79  -31.19  1.448   18.2    13
ne_gold_first  2016-01-01    0.815x  +39.75  -27.96  1.433   18.9    13
ne_gold_first  2014-01-01    0.815x  +47.18  -27.96  1.594   18.1    15
ne_minvol      2014-01-01    0.809x  +47.09  -27.96  1.612   17.9    15
ne_gate_m5     2014-01-01    0.805x  +47.05  -27.00  1.593   18.5    15
ne_gate_m5     2016-01-01    0.805x  +39.60  -27.00  1.431   19.3    13
wls2030        2016-01-01    0.800x  +39.51  -26.99  1.418   18.0    13
crosspool_001  2016-01-01    0.791x  +39.36  -26.99  1.416   18.1    13
crosspool_001  2014-01-01    0.791x  +46.84  -26.99  1.580   17.4    15
wls2030        2014-01-01    0.788x  +46.79  -26.99  1.577   17.7    15
scorebuf_010   2014-01-01    0.772x  +46.56  -30.42  1.665   22.1    15
exit_slope     2016-01-01    0.764x  +38.92  -26.99  1.414   18.5    13
exit_slope     2014-01-01    0.755x  +46.29  -26.99  1.574   17.9    15
ne_minvol      2016-01-01    0.749x  +38.64  -27.96  1.424   18.4    13
slope_both     2016-01-01    0.748x  +38.64  -24.86  1.410   18.1    13
scorebuf_015   2014-01-01    0.729x  +45.90  -30.42  1.648   21.8    15
enter_slope    2016-01-01    0.727x  +38.27  -24.86  1.390   18.2    13
scorebuf_010   2016-01-01    0.727x  +38.27  -30.42  1.480   23.3    13
enter_slope    2014-01-01    0.683x  +45.14  -30.92  1.536   17.5    15
sortino_wls    2014-01-01    0.669x  +44.90  -26.99  1.511   17.7    15
scorebuf_015   2016-01-01    0.667x  +37.15  -30.42  1.448   22.9    13
slope_both     2014-01-01    0.665x  +44.83  -30.92  1.537   17.5    15
scorebuf_020   2014-01-01    0.658x  +44.71  -30.42  1.614   21.3    15
sortino_wls    2016-01-01    0.612x  +36.03  -26.99  1.298   18.5    13
scorebuf_020   2016-01-01    0.601x  +35.79  -30.42  1.405   22.3    13
crosspool_002  2016-01-01    0.580x  +35.35  -26.99  1.304   17.9    13
crosspool_002  2014-01-01    0.573x  +43.13  -26.99  1.485   17.3    15
scorebuf_030   2014-01-01    0.500x  +41.59  -29.68  1.538   20.2    15
ne_bull_only   2016-01-01    0.465x  +32.55  -24.57  1.269   19.0    13
scorebuf_030   2016-01-01    0.460x  +32.43  -29.68  1.310   21.2    13
ne_bull_only   2014-01-01    0.446x  +40.32  -26.44  1.456   18.2    15
rankconfirm3   2016-01-01    0.438x  +31.82  -31.19  1.231   16.0    13
rankconfirm3   2014-01-01    0.434x  +40.01  -31.19  1.438   15.2    15
rankconfirm2   2014-01-01    0.378x  +38.49  -31.19  1.376   16.0    15
rankconfirm2   2016-01-01    0.354x  +29.20  -31.19  1.135   17.0    13
